Lat,Long,Month,Day,Year,"Chlorophyll a, total",Divinyl chlorophyll a,Chlorophyll b,19-Hexanoyloxyfucoxanthin,19-Butanoyloxyfucoxanthin,Fucoxanthin,Peridinin,Alloxanthin,Zeaxanthin
-65.11,-67.085,1,13,2004,0.108,NaN,0.004,0.081,0.027,0.078,0.034,0.041,0.002
-66.715,-72.443,1,28,2004,0.025,NaN,0.005,0.03,0.006,0.02,0.007,0.004,0.003
-65.11086667,-67.08715,1,11,1999,0.2467,NaN,0.0069,0.092,0.015,0.0403,0.0058,0.0033,0.0011
-65.12441667,-64.02328333,1,23,1999,3.7213,NaN,0.0202,0.0316,0.0133,0.0611,0,0.7008,0
-65.36393333,-69.5003,1,26,1999,0.2354,NaN,0.0069,0.0791,0.0178,0.087,0.006,0.0051,0
-66.13111667,-67.65285,1,28,1999,0.6716,NaN,0.0169,0.1189,0.0501,0.1181,0.0046,0.127,0
-68.03035,-69.28643333,2,4,1997,2.6781,NaN,0.0377,0.2865,0,1.2308,0,0.017,0
-65.8427,-65.18811667,2,10,1997,0.1624,NaN,0.0061,0.0032,0.0076,0.0544,0,0.0075,0
-64.53616667,-64.82366667,1,22,1996,3.421,NaN,0.1691,0.0785,0.0444,1.2814,0.0245,0.2418,0
36.822,-74.63,5,10,2006,1.4972,0.0001,NaN,0.1977,0.0736,0.1778,0.1263,0.1145,0.0595
36.822,-74.63,5,10,2006,1.6224,0.0001,NaN,0.2158,0.0734,0.1908,0.1334,0.1197,0.0602
38.1222,-74.3842,7,5,2006,0.431,0.0001,0.0376,0.0699,0.0156,0.0533,0.0397,0.0047,0.0626
38.7821,-74.9532,7,6,2006,9.0964,0.0001,0.6664,0.1287,0.0445,1.8114,1.8549,0.212,0.2913
38.7821,-74.9532,7,6,2006,9.1628,0.0001,0.6586,0.128,0.0508,1.8287,1.7942,0.2104,0.2968
